estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.9814145,0.0119437,0.9360279,0.99478,ColemanLateFall_2021,BlwTisdale,BlwChinaBend,261.408,240.618,Lower Sac R,"BlwTisdale to 
BlwChinaBend",261.408 to 240.618,129,107,38.98941,-121.80463,38.88406,-121.81713
0.900782,0.0218019,0.8491334,0.9360799,ColemanLateFall_2021,BlwChinaBend,Knights_RST,240.618,222.05,Lower Sac R,"BlwChinaBend to 
Knights_RST",240.618 to 222.05,107,92,38.88406,-121.81713,38.79248,-121.69087
0.7966932,0.1853194,0.2938508,0.973616,ColemanLateFall_2021,Knights_RST,KnightsBlwRST,222.05,221.58,Lower Sac R,"Knights_RST to 
KnightsBlwRST",222.05 to 221.58,92,13,38.79248,-121.69087,38.78877,-121.694
1,0,1,1,ColemanLateFall_2021,KnightsBlwRST,Abv_FremontWeir,221.58,215.18,Lower Sac R,"KnightsBlwRST to 
Abv_FremontWeir",221.58 to 215.18,13,104,38.78877,-121.694,38.76009,-121.67145
0.9427982,0.0330612,0.8321167,0.9820813,ColemanLateFall_2021,Abv_FremontWeir,Blw_FremontWeir,215.18,210.36,Lower Sac R,"Abv_FremontWeir to 
Blw_FremontWeir",215.18 to 210.36,104,101,38.76009,-121.67145,38.77015,-121.6322
0.9660812,0.053085,0.5434062,0.9985351,ColemanLateFall_2021,Blw_FremontWeir,Blw_FRConf,210.36,203.468,Lower Sac R,"Blw_FremontWeir to 
Blw_FRConf",210.36 to 203.468,101,55,38.77015,-121.6322,38.78212,-121.61526
0.9576645,0.0156698,0.9138314,0.9796956,ColemanLateFall_2021,Blw_FRConf,TowerBridge,203.468,172,Lower Sac R,"Blw_FRConf to 
TowerBridge",203.468 to 172,55,87,38.78212,-121.61526,38.5802,-121.508
0.8311685,0.1093591,0.5166129,0.9577664,ColemanLateFall_2021,TowerBridge,I80-50_Br,172,170.748,Lower Sac R,"TowerBridge to 
I80-50_Br",172 to 170.748,87,84,38.5802,-121.508,38.571133,-121.5164
0.9699859,0.0295593,0.8154146,0.9957882,ColemanLateFall_2021,I80-50_Br,SacTrawl,170.748,166.8225,Lower Sac R,"I80-50_Br to 
SacTrawl",170.748 to 166.8225,84,84,38.571133,-121.5164,38.539519999999996,-121.51444000000001
0.9582212,0.0182911,0.9035384,0.9825052,ColemanLateFall_2021,SacTrawl,Freeport,166.8225,152.438,Lower Sac R,"SacTrawl to 
Freeport",166.8225 to 152.438,84,79,38.539519999999996,-121.51444000000001,38.46467,-121.50501
0.9821165,0.0125321,0.9313312,0.9955231,ColemanLateFall_2021,Freeport,Hood,152.438,138.228,Lower Sac R,"Freeport to 
Hood",152.438 to 138.228,79,77,38.46467,-121.50501,38.3617,-121.52033
0.8895559,0.0166724,0.8524064,0.9182516,ColemanLateFall_2021,Hood,Chipps,138.228,71.48599999999999,Lower Sac R,"Hood to 
Chipps",138.228 to 71.486,77,34,38.3617,-121.52033,38.046132,-121.912643
0.8876343,0.0400779,0.7823174,0.9455446,ColemanLateFall_2021,Chipps,Benicia,71.48599999999999,52.144000000000005,West Delta,"Chipps to 
Benicia",71.486 to 52.144,34,28,38.046132,-121.912643,38.0423015,-122.1236
0.8569859,0.0385972,0.7637285,0.9174145,ColemanLateFall_2021,Benicia,GoldenGateE,52.144000000000005,1.71,Carquinez Strait,"Benicia to 
GoldenGateE",52.144 to 1.71,28,9,38.0423015,-122.1236,37.82794,-122.46168
0.0631838,0.1237115,0.0011205,0.8021834,ColemanLateFall_2021,GoldenGateE,GoldenGateW,1.71,0.8,SF Bay,"GoldenGateE to 
GoldenGateW",1.71 to 0.8,9,10,37.82794,-122.46168,37.82126,-122.46918
